# Mapa CEDEAR (codigo BYMA) -> subyacente donde cotiza de verdad.
# Armado desde el panel oficial de BYMA del 12/6/2026, actualizado con el
# del 3/9/2026.
# El screener NUNCA usa el precio del CEDEAR: siempre baja el subyacente.
#
# Excluidos a proposito:
#   AABA: Altaba, liquidada
#   ATAD: Tatneft, sancionada. `ATAD.L` devuelve 20 barras pero SIN moneda y
#         SIN nombre, que no es una cotizacion normal. Queda afuera.
#   AUY: Yamana, fusionada con PAAS
#   CS: Credit Suisse, absorbida por UBS
#   Sin subyacente que baje, verificado en dos corridas con controles sanos
#   en el mismo lote (8-9/9/2026). Siguen en el universo: la cuarentena los
#   maneja y sacarlos es decision del usuario.
#     BRFS: BRF. Ni BRFS, ni BRFS3.SA, ni BRFA3.SA, ni MRFG3.SA (se fusiono
#           con Marfrig).
#     EBR:  Eletrobras. Ni EBR, ni EBR.B, ni ELET3.SA, ni ELET6.SA.
#     KEEL: Bitfarms. Ni BITF, ni BITFF, ni BITF.TO, ni BITF.V.
#     EA:   Electronic Arts. Yahoo devuelve UNA barra, del 10/08/2026, y
#           nada despues: dejo de cotizar.
#
#   ERJ: Embraer. Esta en el panel de BYMA pero Yahoo no lo devuelve por
#        ninguna via -- se probaron ERJ, EMBR3.SA, ERJ.SA y EMBRAER.SA en
#        tres corridas distintas, con papeles brasileños sanos en el mismo
#        lote. Sin subyacente que baje no entra: quedaria de adorno.
#   LKOD: Lukoil, sancionada
#   MBT: MTS, sancionada
#   NLM: Novolipetsk, sancionada
#   OGZD: Gazprom, sancionada
#   PTR: PetroChina, ADR deslistado
#   RCTB4: Telebras, sin liquidez
#   SHPW: Shapeways, deslistada
#   SI: Silvergate se liquido Y EL TICKER SE REASIGNO: hoy `SI` devuelve
#       barras, pero de "Shoulder Innovations, Inc.", que es otra empresa.
#       Mapearlo bajaria la empresa equivocada EN SILENCIO, que es el peor
#       de los casos. Queda afuera, y por eso verificar_tickers.py imprime
#       el NOMBRE y no solo si hay barras.
#   SNP: Sinopec, ADR deslistado
#   TWTR: Twitter, privatizada
local,subyacente
AAPL,AAPL
MSFT,MSFT
NVDA,NVDA
AVGO,AVGO
AMD,AMD
INTC,INTC
MU,MU
QCOM,QCOM
TXN,TXN
AMAT,AMAT
LRCX,LRCX
ADI,ADI
MRVL,MRVL
SWKS,SWKS
ARM,ARM
ALAB,ALAB
SNDK,SNDK
ASML,ASML
CSCO,CSCO
ORCL,ORCL
IBM,IBM
ADBE,ADBE
CRM,CRM
NOW,NOW
TEAM,TEAM
SNOW,SNOW
PLTR,PLTR
PANW,PANW
CRWD,CRWD
PATH,PATH
DOCU,DOCU
ZM,ZM
TWLO,TWLO
SHOP,SHOP
SPOT,SPOT
UBER,UBER
ABNB,ABNB
RBLX,RBLX
PINS,PINS
SNAP,SNAP
YELP,YELP
ETSY,ETSY
EBAY,EBAY
TRIP,TRIP
BKNG,BKNG
ROKU,ROKU
EA,EA
NFLX,NFLX
GOOGL,GOOGL
META,META
AMZN,AMZN
HPQ,HPQ
XROX,XRX
GLW,GLW
GRMN,GRMN
MSI,MSI
VRSN,VRSN
ANET,ANET
ISRG,ISRG
BB,BB
AI,AI
NBIS,NBIS
CRWV,CRWV
IREN,IREN
RGTI,RGTI
ONDS,ONDS
SDA,SDA
SATL,SATL
ASTS,ASTS
RKLB,RKLB
OKLO,OKLO
TEM,TEM
MSTR,MSTR
COIN,COIN
RIOT,RIOT
HUT,HUT
KEEL,BITF
BMNR,BMNR
HOOD,HOOD
PYPL,PYPL
XYZ,XYZ
FISV,FISV
V,V
MA,MA
UPST,UPST
JNJ,JNJ
PFE,PFE
MRK,MRK
ABBV,ABBV
ABT,ABT
BMY,BMY
LLY,LLY
AMGN,AMGN
GILD,GILD
BIIB,BIIB
MRNA,MRNA
MDT,MDT
TMO,TMO
DHR,DHR
UNH,UNH
CVS,CVS
CAH,CAH
VRTX,VRTX
HIMS,HIMS
WBA,WBA
KO,KO
PEP,PEP
MCD,MCD
SBUX,SBUX
NKE,NKE
WMT,WMT
HD,HD
COST,COST
TGT,TGT
ROST,ROST
TJX,TJX
URBN,URBN
ANF,ANF
DECK,DECK
PG,PG
CL,CL
KMB,KMB
MDLZ,MDLZ
HSY,HSY
SYY,SYY
MO,MO
PM,PM
DISN,DIS
CCL,CCL
LVS,LVS
ORLY,ORLY
AAP,AAP
GT,GT
HOG,HOG
RACE,RACE
O,O
JPM,JPM
BA.C,BAC
C,C
WFC,WFC
GS,GS
SCHW,SCHW
USB,USB
BK,BNY
AXP,AXP
BX,BX
BRKB,BRK-B
AIG,AIG
SPGI,SPGI
MMC,MRSH
TRVV,TRV
FNMA,FNMA
FMCC,FMCC
PBI,PBI
BA,BA
CAT,CAT
DE,DE
MMM,MMM
GE,GE
HON,HON
LMT,LMT
RTX,RTX
HWM,HWM
UNP,UNP
UPS,UPS
FDX,FDX
DAL,DAL
AAL,AAL
UAL,UAL
PCAR,PCAR
SNA,SNA
JCI,JCI
CAR,CAR
F,F
GM,GM
TSLA,TSLA
STLA,STLA
IFF,IFF
ECL,ECL
AVY,AVY
EFX,EFX
ADP,ADP
ACN,ACN
IP,IP
DD,DD
DOW,DOW
MOS,MOS
NUE,NUE
MP,MP
XOM,XOM
CVX,CVX
COP,COP
OXY,OXY
SLB,SLB
HAL,HAL
BKR,BKR
PSX,PSX
VST,VST
CEG,CEG
NEE,NEE
FSLR,FSLR
NXE,NXE
CCJ,CCJ
GLNG,GLNG
B,B
NEM,NEM
AEM,AEM
KGC,KGC
GFI,GFI
HMY,HMY
HL,HL
CDE,CDE
PAAS,PAAS
MUX,MUX
NG,NG
FCX,FCX
SCCO,SCCO
RIO,RIO
BHP,BHP
LAC,LAC
LAR,LAR
AOCA,ACH
T,T
VZ,VZ
TMUS,TMUS
AZN,AZN
GSK,GSK
NVS,NVS
NVO,NVO
SAP,SAP
UL,UL
DEO,DEO
VOD,VOD
BP,BP
SHEL,SHEL
E,E
TTE,TTE
EQNR,EQNR
NGG,NGG
HSBC,HSBC
BCS,BCS
LYG,LYG
ING,ING
BBV,BBVA
SAN,SAN
AEG,AEG
PHG,PHG
ERIC,ERIC
NOKA,NOK
ORAN,ORANY
TEFO,TEF
TIIAY,TIIAY
PSO,PSO
SIEGY,SIEGY
BAS,BAS.DE
BAYN,BAYN.DE
MBG,MBG.DE
ADS,ADS.DE
EOAN,EOAN.DE
BSN,BN.PA
DTEA,DTE.DE
BABA,BABA
JD,JD
PDD,PDD
BIDU,BIDU
NTES,NTES
TCOM,TCOM
JOYY,JOYY
WBO,WB
NIO,NIO
XPEV,XPEV
LFC,LFC
TSM,TSM
INFY,INFY
HDB,HDB
IBN,IBN
TTM,TTM
SE,SE
SONY,SONY
TM,TM
HMC,HMC
CAJ,CAJPY
MFG,MFG
MUFG,MUFG
NMR,NMR
KB,KB
KEP,KEP
PKS,PKX
HNPIY,HNP
YZCA,YZCHY
JMIA,JMIA
NSAN,NSANY
PCRF,PCRFY
NEC1,6701.T
HHPD,2317.TW
SMSN,SMSN.IL
MELI,MELI
GLOB,GLOB
ARCO,ARCO
BIOX,BIOX
ADGO,AGRO
CAAP,CAAP
GPRK,GPRK
LND,LND
VIST,VIST
TEN,TS
TXR,TX
PBR,PBR
VALE,VALE
ITUB,ITUB
BBD,BBD
BSBR,BSBR
ABEV,ABEV
BRFS,BRFS
GGB,GGB
SUZ,SUZ
SID,SID
BAK,BAK
ELP,CPLE3.SA
EBR,EBR
SBS,SBS
