# ticker,grupo[,subyacente]
# Los .BA se resuelven al subyacente con cedears.csv.
# Nada cotiza en pesos: se baja el papel en su mercado de origen.
ticker,grupo
AAPL.BA,Tecnologia
MSFT.BA,Tecnologia
NVDA.BA,Tecnologia
AVGO.BA,Tecnologia
AMD.BA,Tecnologia
INTC.BA,Tecnologia
MU.BA,Tecnologia
QCOM.BA,Tecnologia
TXN.BA,Tecnologia
AMAT.BA,Tecnologia
LRCX.BA,Tecnologia
ADI.BA,Tecnologia
MRVL.BA,Tecnologia
SWKS.BA,Tecnologia
ARM.BA,Tecnologia
ALAB.BA,Tecnologia
SNDK.BA,Tecnologia
ASML.BA,Tecnologia
CSCO.BA,Tecnologia
ORCL.BA,Tecnologia
IBM.BA,Tecnologia
ADBE.BA,Tecnologia
CRM.BA,Tecnologia
NOW.BA,Tecnologia
TEAM.BA,Tecnologia
SNOW.BA,Tecnologia
PLTR.BA,Tecnologia
PANW.BA,Tecnologia
CRWD.BA,Tecnologia
PATH.BA,Tecnologia
DOCU.BA,Tecnologia
ZM.BA,Tecnologia
TWLO.BA,Tecnologia
SHOP.BA,Tecnologia
SPOT.BA,Tecnologia
UBER.BA,Tecnologia
ABNB.BA,Tecnologia
RBLX.BA,Tecnologia
PINS.BA,Tecnologia
SNAP.BA,Tecnologia
YELP.BA,Tecnologia
ETSY.BA,Tecnologia
EBAY.BA,Tecnologia
TRIP.BA,Tecnologia
BKNG.BA,Tecnologia
ROKU.BA,Tecnologia
EA.BA,Tecnologia
NFLX.BA,Tecnologia
GOOGL.BA,Tecnologia
META.BA,Tecnologia
AMZN.BA,Tecnologia
HPQ.BA,Tecnologia
XROX.BA,Tecnologia
GLW.BA,Tecnologia
GRMN.BA,Tecnologia
MSI.BA,Tecnologia
VRSN.BA,Tecnologia
ANET.BA,Tecnologia
ISRG.BA,Tecnologia
BB.BA,Tecnologia
AI.BA,Tecnologia
NBIS.BA,Tecnologia
CRWV.BA,Tecnologia
IREN.BA,Tecnologia
RGTI.BA,Tecnologia
ONDS.BA,Tecnologia
SDA.BA,Tecnologia
SATL.BA,Tecnologia
ASTS.BA,Tecnologia
RKLB.BA,Tecnologia
OKLO.BA,Tecnologia
TEM.BA,Tecnologia
MSTR.BA,Cripto
COIN.BA,Cripto
RIOT.BA,Cripto
HUT.BA,Cripto
KEEL.BA,Cripto
BMNR.BA,Cripto
HOOD.BA,Fintech
PYPL.BA,Fintech
XYZ.BA,Fintech
FISV.BA,Fintech
V.BA,Fintech
MA.BA,Fintech
UPST.BA,Fintech
JNJ.BA,Salud
PFE.BA,Salud
MRK.BA,Salud
ABBV.BA,Salud
ABT.BA,Salud
BMY.BA,Salud
LLY.BA,Salud
AMGN.BA,Salud
GILD.BA,Salud
